Season,Team,rank,points,members,foreign_players,mean_age,salaries,spending,Mean_Player_Rating,Wins,Draws,Losses,Goals_For,Goals_Against,Goal_Difference
Aston Villa_summary_stats,,14.0,45.0,48.0,22.0,23.0,4930000,95900000,,,,,,,
Aston Villa_summary_stats,,17.0,55.0,56.0,23.0,23.2,6370000,96140000,,,,,,,
Aston Villa_summary_stats,,20.0,61.0,64.0,30.0,24.0,6620000,147780000,,,,,,,
Bournemouth_summary_stats,,6.0,6.0,6.0,6.0,6.0,6,6,,,,,,,
Bournemouth_summary_stats,,14.0,41.66666666666666,43.333333333333336,14.5,23.566666666666663,1262500,59688333,,,,,,,
Bournemouth_summary_stats,,3.1622776601683795,4.501851470969102,6.314005596027506,2.588435821108957,0.7607014306984484,782571,18055523,,,,,,,
Bournemouth_summary_stats,,9.0,34.0,35.0,11.0,22.5,225000,34460000,,,,,,,
Bournemouth_summary_stats,,12.5,39.75,38.25,12.5,23.0,700000,48405000,,,,,,,
Bournemouth_summary_stats,,14.5,43.0,45.5,15.0,23.8,1370000,60085000,,,,,,,
Bournemouth_summary_stats,,15.75,44.75,47.5,16.75,24.075000000000003,1695000,71937500,,,,,,,
Bournemouth_summary_stats,,18.0,46.0,50.0,17.0,24.4,2330000,83100000,,,,,,,
Brentford_summary_stats,,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,,
Brentford_summary_stats,,11.0,52.5,48.5,30.5,22.75,1295000,41050000,,,,,,,
Brentford_summary_stats,,2.8284271247461903,9.192388155425116,4.949747468305833,4.949747468305833,0.0707106781186557,63639,21142492,,,,,,,
Brentford_summary_stats,,9.0,46.0,45.0,27.0,22.7,1250000,26100000,,,,,,,
Brentford_summary_stats,,10.0,49.25,46.75,28.75,22.725,1272500,33575000,,,,,,,
Brentford_summary_stats,,11.0,52.5,48.5,30.5,22.75,1295000,41050000,,,,,,,
Brentford_summary_stats,,12.0,55.75,50.25,32.25,22.775,1317500,48525000,,,,,,,
Brentford_summary_stats,,13.0,59.0,52.0,34.0,22.8,1340000,56000000,,,,,,,
Brighton_summary_stats,,6.0,6.0,6.0,6.0,6.0,6,6,,,,,,,
Brighton_summary_stats,,13.0,45.16666666666666,54.5,32.0,23.266666666666666,1940000,45463333,,,,,,,
Brighton_summary_stats,,4.427188724235731,9.621157241551906,9.311283477587825,4.516635916254486,1.0033277962194944,1100992,17059760,,,,,,,
Brighton_summary_stats,,6.0,36.0,37.0,24.0,22.0,547000,17000000,,,,,,,
Brighton_summary_stats,,10.5,40.25,53.75,30.75,22.575,1119750,39985000,,,,,,,
Brighton_summary_stats,,15.0,41.0,57.0,33.5,23.200000000000003,1950000,46070000,,,,,,,
Brighton_summary_stats,,15.75,48.5,58.75,34.0,23.975,2745000,57975000,,,,,,,
Brighton_summary_stats,,17.0,62.0,64.0,37.0,24.6,3340000,63740000,,,,,,,
Burnley_summary_stats,,6.0,6.0,6.0,6.0,6.0,6,6,,,,,,,
Burnley_summary_stats,,13.833333333333334,43.66666666666666,35.166666666666664,14.0,25.5,2087166,30156666,,,,,,,
Burnley_summary_stats,,4.355073669487884,8.2138095100061,3.311595788538612,1.7888543819998317,0.843800924389159,1798671,15391064,,,,,,,
Burnley_summary_stats,,7.0,35.0,32.0,11.0,24.6,0,1000000,,,,,,,
Burnley_summary_stats,,11.25,39.25,32.25,13.25,24.85,732250,28385000,,,,,,,
Burnley_summary_stats,,15.5,40.0,34.5,14.5,25.45,1905000,34920000,,,,,,,
Burnley_summary_stats,,16.75,50.5,38.25,15.0,25.9,3290000,39400000,,,,,,,
Burnley_summary_stats,,18.0,54.0,39.0,16.0,26.8,4620000,43000000,,,,,,,
Cardiff_summary_stats,,1.0,1.0,1.0,1.0,1.0,1,1,,,,,,,
Cardiff_summary_stats,,18.0,34.0,32.0,29.0,25.8,398000,22500000,,,,,,,
Cardiff_summary_stats,,,,,,,0,0,,,,,,,
Cardiff_summary_stats,,18.0,34.0,32.0,29.0,25.8,398000,22500000,,,,,,,
Cardiff_summary_stats,,18.0,34.0,32.0,29.0,25.8,398000,22500000,,,,,,,
Cardiff_summary_stats,,18.0,34.0,32.0,29.0,25.8,398000,22500000,,,,,,,
Cardiff_summary_stats,,18.0,34.0,32.0,29.0,25.8,398000,22500000,,,,,,,
